ID,DATE,TYPE_OF_COMPETITION,CITY,COUNTRY,DISTANCE
1,2005-10-22 00:00:00,PS,Düsseldorf,GER,SP        
2,2005-10-23 00:00:00,PS,Düsseldorf,GER,TSP       
3,2005-11-19 00:00:00,PS,Beitostolen,NOR,10k       
4,2005-11-20 00:00:00,PS,Beitostolen,NOR,TE        
5,2005-11-26 00:00:00,PS,Ruka,FIN,10k       
6,2005-11-27 00:00:00,PS,Ruka,FIN,10k       
7,2005-12-10 00:00:00,PS,Vernon,FR,15k       
8,2005-12-11 00:00:00,PS,Vernon,FR,SP        
9,2005-12-15 00:00:00,PS,Canmore,CAN,10k       
10,2005-12-17 00:00:00,PS,Canmore,CAN,15k       
11,2005-12-18 00:00:00,PS,Canmore,CAN,TSP       
12,2005-12-30 00:00:00,PS,Nové Mìsto na Moravì,CZE,SP        
13,2005-12-31 00:00:00,PS,Nové Mìsto na Moravì,CZE,10k       
14,2006-01-07 00:00:00,PS,Otepää,EST,10k       
15,2006-01-08 00:00:00,PS,Otepää,EST,SP        
16,2006-01-14 00:00:00,PS,Val di Fiemme,ITA,15k       
17,2006-01-15 00:00:00,PS,Val di Fiemme,ITA,TE        
18,2006-01-21 00:00:00,PS,Oberstdorf,GER,15k       
19,2006-01-22 00:00:00,PS,Oberstdorf,GER,SP        
20,2006-02-04 00:00:00,PS,Davos,CHE,SP        
21,2006-02-05 00:00:00,PS,Davos,CHE,10k       
22,2006-03-07 00:00:00,PS,Borlänge,SWE,SP        
23,2006-03-08 00:00:00,PS,Falun,SWE,10k       
24,2006-03-09 00:00:00,PS,Drammen,NOR,SP        
25,2006-03-11 00:00:00,PS,Oslo,NOR,30k       
26,2006-03-15 00:00:00,PS,Changchun,CH,SP        
27,2006-03-18 00:00:00,PS,Sapporo,JPN,TSP       
28,2006-03-19 00:00:00,PS,Sapporo,JPN,15k       
29,2006-10-28 00:00:00,PS,Düsseldorf,GER,SP        
30,2006-10-29 00:00:00,PS,Düsseldorf,GER,TSP       
31,2006-11-18 00:00:00,PS,Gällivare,SWE,10k       
32,2006-11-19 00:00:00,PS,Gällivare,SWE,TE        
33,2006-11-25 00:00:00,PS,Ruka,FIN,SP        
34,2006-11-26 00:00:00,PS,Ruka,FIN,10k       
35,2006-12-08 00:00:00,PS,Cogne/Valle d’Aosta,ITA,SP        
36,2006-12-10 00:00:00,PS,Cogne/Valle d’Aosta,ITA,15k       
37,2006-12-13 00:00:00,PS,Cogne,ITA,10k       
38,2006-12-16 00:00:00,PS,La Clusaz,FR,15k       
39,2006-12-17 00:00:00,PS,La Clusaz,FR,TE        
40,2007-01-20 00:00:00,PS,Rybiñsk,RUS,15k       
41,2007-01-21 00:00:00,PS,Rybiñsk,RUS,TS        
42,2007-01-27 00:00:00,PS,Otepää,EST,10k       
43,2007-01-28 00:00:00,PS,Otepää,EST,SP        
44,2007-02-03 00:00:00,PS,Davos,CHE,10k       
45,2007-02-04 00:00:00,PS,Davos,CHE,TE        
46,2007-02-15 00:00:00,PS,Changchun,CH,SP        
47,2007-02-16 00:00:00,PS,Changchun,CH,10k       
48,2007-03-10 00:00:00,PS,Lahti,FIN,SP        
49,2007-03-11 00:00:00,PS,Lahti,FIN,10k       
50,2007-03-14 00:00:00,PS,Drammen,NOR,SP        
51,2007-03-17 00:00:00,PS,Oslo,NOR,30k       
52,2007-03-21 00:00:00,PS,Sztokholm,SWE,SP        
53,2007-03-24 00:00:00,PS,Falun,SWE,15k       
54,2007-03-25 00:00:00,PS,Falun,SWE,TE        
55,2007-10-27 00:00:00,PS,Düsseldorf,GER,SP        
56,2007-10-28 00:00:00,PS,Düsseldorf,GER,TSP       
57,2007-11-24 00:00:00,PS,Beitostolen,NOR,10k       
58,2007-11-25 00:00:00,PS,Beitostolen,NOR,TE        
59,2007-12-01 00:00:00,PS,Ruka,FIN,SP        
60,2007-12-02 00:00:00,PS,Ruka,FIN,10k       
61,2007-12-08 00:00:00,PS,Davos,CHE,10k       
62,2007-12-09 00:00:00,PS,Davos,CHE,TE        
63,2007-12-15 00:00:00,PS,Rybiñsk,RUS,15k       
64,2007-12-16 00:00:00,PS,Rybiñsk,RUS,SP        
65,2008-01-22 00:00:00,PS,Canmore,CAN,15k       
66,2008-01-23 00:00:00,PS,Canmore,CAN,SP        
67,2008-01-25 00:00:00,PS,Canmore,CAN,10k       
68,2008-01-26 00:00:00,PS,Canmore,CAN,SP        
69,2008-02-09 00:00:00,PS,Otepää,EST,10k       
70,2008-02-10 00:00:00,PS,Otepää,EST,SP        
71,2008-02-16 00:00:00,PS,Liberec,CZE,7,6k      
72,2008-02-17 00:00:00,PS,Liberec,CZE,TSP       
73,2008-02-23 00:00:00,PS,Falun,SWE,15k       
74,2008-02-24 00:00:00,PS,Falun,SWE,TE        
75,2008-02-27 00:00:00,PS,Sztokholm,SWE,SP        
76,2008-03-01 00:00:00,PS,Lahti,FIN,SP        
77,2008-03-02 00:00:00,PS,Lahti,FIN,10k       
78,2008-03-05 00:00:00,PS,Drammen,NOR,SP        
79,2008-03-08 00:00:00,PS,Oslo,NOR,30k       
80,2008-03-14 00:00:00,PS,Bormio,ITA,SP        
81,2008-03-15 00:00:00,PS,Bormio,ITA,10k       
82,2008-03-16 00:00:00,PS,Bormio,ITA,10k       
83,2008-11-22 00:00:00,PS,Gällivare,SWE,10k       
84,2008-11-23 00:00:00,PS,Gällivare,SWE,TE        
85,2008-11-29 00:00:00,PS,Ruka,FIN,SP        
86,2008-11-30 00:00:00,PS,Ruka,FIN,10k       
87,2008-12-06 00:00:00,PS,La Clusaz,FR,15k       
88,2008-12-07 00:00:00,PS,La Clusaz,FR,TE        
89,2008-12-13 00:00:00,PS,Davos,CHE,10k       
90,2008-12-14 00:00:00,PS,Davos,CHE,SP        
91,2008-12-20 00:00:00,PS,Düsseldorf,GER,SP        
92,2008-12-21 00:00:00,PS,Düsseldorf,GER,TSP       
93,,,,0,TDS       
94,2009-01-16 00:00:00,PS,Whistler,CAN,SP        
95,2009-01-17 00:00:00,PS,Whistler,CAN,15k       
96,2009-01-18 00:00:00,PS,Whistler,CAN,TSP       
97,2009-01-24 00:00:00,PS,Otepää,EST,10k       
98,2009-01-25 00:00:00,PS,Otepää,EST,SP        
99,2009-01-30 00:00:00,PS,Rybiñsk,RUS,10k       
100,2009-01-31 00:00:00,PS,Rybiñsk,RUS,SP        
101,2009-02-01 00:00:00,PS,Rybiñsk,RUS,15k       
102,2009-02-13 00:00:00,PS,Valdidentro,ITA,SP        
103,2009-02-14 00:00:00,PS,Valdidentro,ITA,10k       
104,2009-03-07 00:00:00,PS,Lahti,FIN,SP        
105,2009-03-08 00:00:00,PS,Lahti,FIN,10k       
106,2009-03-12 00:00:00,PS,Trondheim,NOR,SP        
107,2009-03-14 00:00:00,PS,Trondheim,NOR,30k       
108,2009-03-18 00:00:00,PS,Sztokholm,SWE,SP        
109,2009-03-20 00:00:00,PS,Falun,SWE,SP        
110,2009-03-21 00:00:00,PS,Falun,SWE,10k       
111,2009-11-21 00:00:00,PS,Beitostolen,NOR,10k       
112,2009-11-22 00:00:00,PS,Beitostolen,NOR,TE        
113,2009-11-28 00:00:00,PS,Ruka,FIN,SP        
114,2009-11-29 00:00:00,PS,Ruka,FIN,10k       
115,2009-12-05 00:00:00,PS,Düsseldorf,GER,SP        
116,2009-12-06 00:00:00,PS,Düsseldorf,GER,TSP       
117,2009-12-12 00:00:00,PS,Davos,CHE,10k       
118,2009-12-13 00:00:00,PS,Davos,CHE,SP        
119,2009-12-19 00:00:00,PS,Rogla,SLO,SP        
120,2009-12-20 00:00:00,PS,Rogla,SLO,15k       
121,,,,0,TDS       
122,2010-01-16 00:00:00,PS,Otepää,EST,10k       
123,2010-01-17 00:00:00,PS,Otepää,EST,SP        
124,2010-01-22 00:00:00,PS,Rybiñsk,RUS,SP        
125,2010-01-23 00:00:00,PS,Rybiñsk,RUS,15k       
126,2010-01-24 00:00:00,PS,Rybiñsk,RUS,TSP       
127,2010-02-05 00:00:00,PS,Canmore,CAN,10k       
128,2010-02-06 00:00:00,PS,Canmore,CAN,SP        
129,2010-03-06 00:00:00,PS,Lahti,FIN,15k       
130,2010-03-07 00:00:00,PS,Lahti,FIN,TE        
131,2010-03-11 00:00:00,PS,Drammen,NOR,SP        
132,2010-03-13 00:00:00,PS,Oslo,NOR,30k       
133,2010-03-14 00:00:00,PS,Oslo,NOR,SP        
134,2010-03-17 00:00:00,PS,Sztokholm,SWE,SP        
135,2010-03-19 00:00:00,PS,Falun,SWE,SP        
136,2010-03-20 00:00:00,PS,Falun,SWE,10k       
137,2010-03-21 00:00:00,PS,Falun,SWE,10k       
138,2010-11-20 00:00:00,PS,Gällivare,SWE,10k       
139,2010-11-21 00:00:00,PS,Gällivare,SWE,TE        
140,2010-11-26 00:00:00,PS,Ruka,FIN,SP        
141,2010-11-27 00:00:00,PS,Ruka,FIN,5k        
142,2010-11-28 00:00:00,PS,Ruka,FIN,10k       
143,2010-12-04 00:00:00,PS,Düsseldorf,GER,SP        
144,2010-12-05 00:00:00,PS,Düsseldorf,GER,TSP       
145,2010-12-11 00:00:00,PS,Davos,CHE,10k       
146,2010-12-12 00:00:00,PS,Davos,CHE,SP        
147,2010-12-18 00:00:00,PS,La Clusaz,FR,15k       
148,2010-12-19 00:00:00,PS,La Clusaz,FR,TE        
149,2010-12-31 00:00:00,PS,Oberhof,GER,SP        
150,2011-01-01 00:00:00,PS,Oberhof,GER,10k       
151,2011-01-02 00:00:00,PS,Oberstdorf,GER,SP        
152,2011-01-03 00:00:00,PS,Oberstdorf,GER,10k       
153,2011-01-05 00:00:00,PS,Toblach,ITA,SP        
154,2011-01-06 00:00:00,PS,Toblach,ITA,15k       
155,2011-01-08 00:00:00,PS,Val di Fiemme,ITA,10k       
156,2011-01-09 00:00:00,PS,Val di Fiemme,ITA,10k       
157,,,,0,TDS       
158,2011-01-15 00:00:00,PS,Liberec,CZE,SP        
159,2011-01-16 00:00:00,PS,Liberec,CZE,TSP       
160,2011-01-22 00:00:00,PS,Otepää,EST,10k       
161,2011-01-23 00:00:00,PS,Otepää,EST,SP        
162,2011-02-04 00:00:00,PS,Rybiñsk,RUS,10k       
163,2011-02-05 00:00:00,PS,Rybiñsk,RUS,SP        
164,2011-02-06 00:00:00,PS,Rybiñsk,RUS,TE        
165,2011-02-19 00:00:00,PS,Drammen,NOR,10k       
166,2011-02-20 00:00:00,PS,Drammen,NOR,SP        
167,2011-03-12 00:00:00,PS,Lahti,FIN,10k       
168,2011-03-13 00:00:00,PS,Lahti,FIN,SP        
169,2011-03-16 00:00:00,PS,Sztokholm,SWE,SP        
170,2011-03-18 00:00:00,PS,Falun,SWE,SP        
171,2011-03-19 00:00:00,PS,Falun,SWE,10k       
172,2011-03-20 00:00:00,PS,Falun,SWE,10k       
173,2011-11-19 00:00:00,PS,Sjusjoen,NOR,10k       
