ID,PLACE,NAME_1,ID_COMPETITION,ID_ATHLETS
988,FIRST,Marit Bjorgen,1,1261
990,FIRST,Marit Bjorgen,3,1261
992,FIRST,Marit Bjorgen,5,1261
993,FIRST,Kateøina Neumannová,6,1081
994,FIRST,Marit Bjorgen,7,1261
995,FIRST,Beckie Scott,8,1084
996,FIRST,Julija Czepa³owa,9,1085
997,FIRST,Beckie Scott,10,1084
1000,FIRST,Kateøina Neumannová,13,1081
1001,FIRST,Hilde G. Pedersen,14,1090
1002,FIRST,Lina Andersson,15,1089
1003,FIRST,Kateøina Neumannová,16,1081
1005,FIRST,Beckie Scott,18,1084
1006,FIRST,Ella Gjomle,19,1088
1007,FIRST,Anna Dahlberg,20,1087
1008,FIRST,Virpi Kuitunen,21,1076
1009,FIRST,Arianna Follis,22,1065
1010,FIRST,SACHENBACHER Evi,23,1086
1011,FIRST,Petra Majdiè,24,1066
1012,FIRST,Julija Czepa³owa,25,1085
1013,FIRST,Marit Bjorgen,26,1261
1015,FIRST,Beckie Scott,28,1084
1016,FIRST,Marit Bjorgen,29,1261
1018,FIRST,Kateøina Neumannová,31,1081
1020,FIRST,Petra Majdiè,33,1066
1021,FIRST,Virpi Kuitunen,34,1076
1024,FIRST,Virpi Kuitunen,37,1076
1025,FIRST,Virpi Kuitunen,38,1076
1027,FIRST,Riitta-Liisa Roponen,40,1083
1028,FIRST,Arianna Follis,41,1065
1029,FIRST,Justyna Kowalczyk,42,1055
1030,FIRST,Virpi Kuitunen,43,1076
1031,FIRST,Virpi Kuitunen,44,1076
1034,FIRST,Kateøina Neumannová,47,1081
1035,FIRST,Virpi Kuitunen,48,1076
1036,FIRST,Kristina Šmigun,49,1080
1037,FIRST,Virpi Kuitunen,50,1076
1038,FIRST,Aino-Kaisa Saarinen,51,1145
1039,FIRST,Petra Majdiè,52,1066
1040,FIRST,Marit Bjorgen,53,1261
1044,FIRST,Marit Bjorgen,57,1261
1046,FIRST,Petra Majdiè,59,1066
1047,FIRST,Marit Bjorgen,60,1261
1048,FIRST,Virpi Kuitunen,61,1076
1050,FIRST,Astrid Jacobsen,63,1266
1051,FIRST,Kikkan Randall,64,1059
1052,FIRST,Justyna Kowalczyk,65,1055
1053,FIRST,Petra Majdiè,66,1066
1055,FIRST,Chandra Crawford,68,1078
1056,FIRST,Virpi Kuitunen,69,1076
1057,FIRST,Petra Majdiè,70,1066
1058,FIRST,Astrid Jacobsen,71,1266
1060,FIRST,Astrid Jacobsen,73,1266
1062,FIRST,Virpi Kuitunen,75,1076
1063,FIRST,Chandra Crawford,76,1078
1064,FIRST,Virpi Kuitunen,77,1076
1065,FIRST,Virpi Kuitunen,78,1076
1067,FIRST,Claudia Nystad,80,1072
1068,FIRST,Virpi Kuitunen,81,1076
1069,FIRST,Virpi Kuitunen,82,1076
1070,FIRST,Charlotte Kalla,83,1267
1072,FIRST,Petra Majdiè,85,1066
1073,FIRST,Aino-Kaisa Saarinen,86,1145
1074,FIRST,Kristin Steira,87,1061
1076,FIRST,Virpi Kuitunen,89,1076
1077,FIRST,Petra Majdiè,90,1066
1078,FIRST,Petra Majdiè,91,1066
1080,FIRST,Virpi Kuitunen,93,1076
1081,FIRST,Alena Procházková,94,1075
1082,FIRST,Justyna Kowalczyk,95,1055
1084,FIRST,Justyna Kowalczyk,97,1055
1085,FIRST,Petra Majdiè,98,1066
1086,FIRST,Marianna Longa,99,1074
