ID,SEASON,PRIZE,PLACE,ID_ATHLETS
1,2004/2005, large crystal globes,FIRST,1261
2,2005/2006, large crystal globes,FIRST,1261
3,2006/2007, large crystal globes,FIRST,1076
4,2007/2008, large crystal globes,FIRST,1076
5,2008/2009, large crystal globes,FIRST,1055
6,2009/2010, large crystal globes,FIRST,1055
7,2010/2011, large crystal globes,FIRST,1055
8,2011/2012, large crystal globes,FIRST,1261
9,2012/2013, large crystal globes,FIRST,1055
10,2013/2014, large crystal globes,FIRST,1272
11,2014/2015, large crystal globes,FIRST,1261
12,2015/2016, large crystal globes,FIRST,1272
13,2016/2017, large crystal globes,FIRST,1287
14,2017/2018, large crystal globes,FIRST,1287
15,2018/2019, large crystal globes,FIRST,1281
16,2019/2020, large crystal globes,FIRST,1272
17,2020/2021, large crystal globes,FIRST,1051
19,2022/2023, large crystal globes,FIRST,1321
20,2004/2005, large crystal globes,SECOND,1081
21,2005/2006, large crystal globes,SECOND,1084
22,2006/2007, large crystal globes,SECOND,1261
23,2007/2008, large crystal globes,SECOND,1266
24,2008/2009, large crystal globes,SECOND,1066
25,2009/2010, large crystal globes,SECOND,1261
26,2010/2011, large crystal globes,SECOND,1261
27,2011/2012, large crystal globes,SECOND,1055
28,2012/2013, large crystal globes,SECOND,1272
29,2013/2014, large crystal globes,SECOND,1261
30,2014/2015, large crystal globes,SECOND,1272
31,2015/2016, large crystal globes,SECOND,1281
32,2016/2017, large crystal globes,SECOND,1282
33,2017/2018, large crystal globes,SECOND,1051
35,2019/2020, large crystal globes,SECOND,1287
37,2021/2022, large crystal globes,SECOND,1051
38,2022/2023, large crystal globes,SECOND,1051
39,2004/2005, large crystal globes,THIRD,1076
40,2005/2006, large crystal globes,THIRD,1085
41,2006/2007, large crystal globes,THIRD,1081
42,2007/2008, large crystal globes,THIRD,1055
43,2008/2009, large crystal globes,THIRD,1145
44,2009/2010, large crystal globes,THIRD,1066
45,2010/2011, large crystal globes,THIRD,1065
46,2011/2012, large crystal globes,THIRD,1272
47,2012/2013, large crystal globes,THIRD,1059
48,2013/2014, large crystal globes,THIRD,1266
49,2014/2015, large crystal globes,THIRD,1287
50,2015/2016, large crystal globes,THIRD,1287
51,2016/2017, large crystal globes,THIRD,1281
52,2017/2018, large crystal globes,THIRD,1281
53,2018/2019, large crystal globes,THIRD,1272
55,2020/2021, large crystal globes,THIRD,1327
56,2021/2022, large crystal globes,THIRD,1327
57,2022/2023, large crystal globes,THIRD,1271
58,2004/2005,small  crystal globes,FIRST,1261
59,2005/2006,small  crystal globes,FIRST,1085
60,2006/2007,small  crystal globes,FIRST,1076
61,2007/2008,small  crystal globes,FIRST,1076
62,2008/2009,small  crystal globes,FIRST,1055
63,2009/2010,small  crystal globes,FIRST,1055
64,2010/2011,small  crystal globes,FIRST,1055
65,2011/2012,small  crystal globes,FIRST,1261
66,2012/2013,small  crystal globes,FIRST,1055
67,2013/2014,small  crystal globes,FIRST,1272
68,2014/2015,small  crystal globes,FIRST,1261
69,2015/2016,small  crystal globes,FIRST,1272
