ID,COUNTRY,ID_ATHLETS
350,SWE,1033
351,ITA,1034
352,ITA,1035
353,NOR,1036
354,ITA,1037
355,USA,1038
356,RUS,1039
357,SUI,1040
358,RUS,1041
359,RUS,1042
360,NOR,1043
361,RUS,1044
362,RUS,1045
363,GER,1046
364,NOR,1047
365,GER,1048
366,RUS,1049
367,SWE,1050
368,USA,1051
369,RUS,1052
370,SWE,1053
371,SUI,1054
372,POL,1055
373,RUS,1056
374,USA,1057
375,SWE,1058
376,USA,1059
377,SWE,1060
378,NOR,1061
379,FIN,1062
380,NOR,1063
381,SWE,1064
382,ITA,1065
383,SLO,1066
384,SLO,1067
385,GER,1068
386,RUS,1069
387,RUS,1070
388,FIN,1071
389,GER,1072
390,FIN,1073
391,ITA,1074
392,SVK,1075
393,FIN,1076
394,RUS,1077
395,CAN,1078
396,FIN,1079
397,EST,1080
398,CZE,1081
399,RUS,1082
400,FIN,1083
401,CAN,1084
402,RUS,1085
403,CAN,1086
404,SWE,1087
405,NOR,1088
406,SWE,1089
407,SWE,1090
408,RUS,1091
409,RUS,1092
410,NOR,1093
411,SUI,1094
412,RUS,1095
413,CAN,1096
414,GER,1097
415,JPN,1098
416,NOR,1099
417,USA,1100
418,NOR,1101
419,GER,1102
420,NOR,1103
421,SLO,1104
422,GER,1105
423,RUS,1106
424,FRA,1107
425,FIN,1108
426,RUS,1109
427,USA,1110
428,NOR,1111
429,CAN,1112
430,ITA,1113
431,RUS,1114
432,RUS,1115
433,SUI,1116
434,CAN,1117
435,GER,1118
436,FIN,1119
437,USA,1120
438,SVK,1121
439,USA,1122
440,GER,1123
441,POL,1124
442,RUS,1125
443,NOR,1126
444,EST,1127
445,RUS,1128
446,GER,1129
447,JPN,1130
448,RUS,1131
449,GER,1132
450,ITA,1133
451,NOR,1134
452,USA,1135
453,RUS,1136
454,RUS,1137
455,FIN,1138
456,RUS,1139
457,FIN,1140
458,SWE,1141
459,GER,1142
460,NOR,1143
461,NOR,1144
462,FIN,1145
463,SWE,1146
464,ITA,1147
465,SWE,1148
466,CAN,1149
467,GER,1150
468,FRA,1151
469,FIN,1152
470,NOR,1153
471,SWE,1154
472,KAZ,1155
473,KAZ,1156
474,SWE,1157
475,SWE,1158
476,FIN,1159
477,ITA,1160
478,FRA,1161
479,USA,1162
480,ITA,1163
481,RUS,1164
482,SWE,1165
483,SWE,1166
484,FIN,1167
485,SWE,1168
486,FIN,1169
487,USA,1170
488,SWE,1171
489,SWE,1172
490,FIN,1173
491,RUS,1174
492,SWE,1175
493,SUI,1176
494,RUS,1177
495,NOR,1178
496,GER,1179
497,ITA,1180
498,FIN,1181
499,RUS,1182
500,SWE,1183
501,FIN,1184
502,CAN,1185
503,SWE,1186
504,RUS,1187
505,RUS,1188
506,GER,1189
507,RUS,1190
508,RUS,1191
509,SUI,1192
510,FIN,1193
511,ITA,1194
512,FRA,1195
513,RUS,1196
514,FIN,1197
515,ITA,1198
516,RUS,1199
517,GER,1200
518,NOR,1201
519,SUI,1202
520,RUS,1203
521,CAN,1204
522,RUS,1205
523,FIN,1206
524,ITA,1207
525,RUS,1208
526,SWE,1209
527,ITA,1210
528,FRA,1211
529,SWE,1212
530,RUS,1213
531,NOR,1214
532,RUS,1215
533,NOR,1216
534,RUS,1217
535,GER,1218
536,KAZ,1219
537,AUT,1220
538,SWE,1221
539,ITA,1222
540,FRA,1223
541,RUS,1224
542,RUS,1225
543,USA,1226
544,NOR,1227
545,FRA,1228
546,RUS,1229
547,GER,1230
548,RUS,1231
549,NOR,1232
550,RUS,1233
551,NOR,1234
552,SUI,1235
553,NOR,1236
554,CAN,1237
555,RUS,1238
556,NOR,1239
557,RUS,1240
558,NOR,1241
559,FIN,1242
560,RUS,1243
561,SWE,1244
562,RUS,1245
563,CAN,1246
564,SWE,1247
565,KAZ,1248
566,RUS,1249
567,RUS,1250
568,JPN,1251
569,FIN,1252
570,RUS,1253
571,CZE,1254
572,RUS,1255
573,NOR,1256
574,RUS,1257
575,JPN,1258
576,GER,1259
577,FIN,1260
578,NOR,1261
579,JPN,1262
580,CZE,1263
581,ITA,1264
582,CZE,1265
583,NOR,1266
584,SWE,1267
585,NOR,1268
586,NOR,1269
587,FIN,1270
588,FIN,1271
589,NOR,1272
590,USA,1273
591,NOR,1274
592,SLO,1275
593,USA,1276
594,SWE,1277
595,NOR,1278
596,NOR,1279
597,NOR,1280
598,NOR,1281
599,FIN,1282
600,NOR,1283
601,GER,1284
602,NOR,1285
603,USA,1286
604,NOR,1287
605,NOR,1288
606,CZE,1289
607,ITA,1290
608,NOR,1291
609,AUT,1292
610,SWE,1293
611,RUS,1294
612,GER,1295
613,FIN,1296
614,CZE,1297
615,NOR,1298
616,SWE,1299
617,SWE,1300
618,RUS,1301
619,SWE,1302
620,NOR,1303
621,NOR,1304
622,RUS,1305
623,CAN,1306
624,NOR,1307
625,FRA,1308
626,SUI,1309
627,RUS,1310
628,SLO,1311
629,FIN,1312
630,GER,1313
631,SLO,1314
632,RUS,1315
633,GER,1316
634,GER,1317
635,NOR,1318
636,GER,1319
637,NOR,1320
638,NOR,1321
639,FIN,1322
640,CZE,1323
641,NOR,1324
642,NOR,1325
643,RUS,1326
644,SWE,1327
645,SWE,1328
646,SWE,1329
647,USA,1330
648,SWE,1331
649,GER,1332
650,USA,1333
651,SWE,1334
652,FRA,1335
653,NOR,1336
654,NOR,1337
655,USA,1338
656,CZE,1339
657,SWE,1340
658,FRA,1341
659,FIN,1342
660,USA,1343
661,SWE,1344
662,RUS,1345
663,NOR,1346
664,USA,1347
665,NOR,1348
666,SWE,1349
667,RUS,1350
668,FIN,1351
669,NOR,1352
670,NOR,1353
671,FIN,1354
